antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'rolls/buns', 'frankfurter'})",frozenset({'whole milk'}),0.05515649050795279,0.4581836839404823,0.03078501795792714,0.5581395348837209,1.2181567228313237,1.0,0.005513213943765086,1.2262158731873296,0.18954204000362027,0.06379585326953748,0.18448291050035232,0.31266439230188287
"frozenset({'yogurt', 'soda'})",frozenset({'whole milk'}),0.09748589020010262,0.4581836839404823,0.05438686505900462,0.5578947368421052,1.2176224435669238,1.0,0.009720420754904237,1.2255369053727185,0.1980327587501474,0.10849539406345957,0.1840311004784688,0.3382978723404255
"frozenset({'soda', 'other vegetables'})",frozenset({'whole milk'}),0.1241662390969728,0.4581836839404823,0.06926629040533606,0.5578512396694215,1.2175275096480431,1.0,0.012375345554850321,1.2254163409944234,0.20399227581418555,0.13499999999999998,0.18395082018532433,0.35451352576976114
"frozenset({'bottled water', 'frankfurter'})",frozenset({'whole milk'}),0.037711646998460746,0.4581836839404823,0.02103642893791688,0.5578231292517006,1.2174661577957049,1.0,0.003757567588699103,1.2253384378576784,0.185622045503313,0.044300378173960014,0.18389893836322396,0.3018678916135323
"frozenset({'yogurt', 'pork'})",frozenset({'whole milk'}),0.04232939969214982,0.4581836839404823,0.023601847101077475,0.5575757575757576,1.2169262614951306,1.0,0.004207206811139154,1.2246533171208278,0.18613657275300202,0.04948897256589564,0.183442378328742,0.3045437578472293
"frozenset({'canned beer', 'other vegetables'})",frozenset({'whole milk'}),0.0672139558748076,0.4581836839404823,0.03745510518214469,0.5572519083969466,1.2162194506894164,1.0,0.006658767267212325,1.223757541444773,0.19059029190590293,0.07676130389064144,0.18284466805459176,0.3194994144448339
"frozenset({'newspapers', 'other vegetables'})",frozenset({'whole milk'}),0.05156490507952796,0.4581836839404823,0.028732683427398667,0.5572139303482587,1.2161365624286185,1.0,0.005106485256019255,1.2236525789658772,0.1873864909772402,0.059733333333333326,0.18277457409920095,0.30996194837681695
"frozenset({'sausage', 'pastry'})",frozenset({'whole milk'}),0.040533606977937404,0.4581836839404823,0.022575679835813236,0.5569620253164557,1.2155867719392743,1.0,0.004003842467266237,1.2229568276771972,0.18484443364122502,0.047413793103448267,0.1823096471039508,0.30311707088891093
"frozenset({'bottled beer', 'tropical fruit'})",frozenset({'whole milk'}),0.04284248332478194,0.4581836839404823,0.023858388917393534,0.5568862275449101,1.2154213409686785,1.0,0.004228662078486264,1.222747632188371,0.18517333702227487,0.049999999999999996,0.18216975140627822,0.3044789480389724
"frozenset({'butter', 'other vegetables'})",frozenset({'whole milk'}),0.05720882503848127,0.4581836839404823,0.03181118522319138,0.5560538116591929,1.2136045676637928,1.0,0.005599035013153526,1.2204549341542674,0.1866886109282422,0.06578249336870026,0.18063340807174894,0.31274135151828625
"frozenset({'newspapers', 'rolls/buns'})",frozenset({'whole milk'}),0.05720882503848127,0.4581836839404823,0.03181118522319138,0.5560538116591929,1.2136045676637928,1.0,0.005599035013153526,1.2204549341542674,0.1866886109282422,0.06578249336870026,0.18063340807174894,0.31274135151828625
frozenset({'cat food'}),frozenset({'whole milk'}),0.04386865059004618,0.4581836839404823,0.024371472550025655,0.5555555555555556,1.2125171083737714,1.0,0.004271572613180483,1.219086711133915,0.18331097397370535,0.05102040816326531,0.17971380471380471,0.30437352245862886
frozenset({'chocolate'}),frozenset({'whole milk'}),0.08645459209851206,0.4581836839404823,0.04797331965110313,0.5548961424332345,1.2110779189276304,1.0,0.00836123614983516,1.21728065674705,0.19078339768165817,0.09659090909090909,0.17849676288103597,0.3297996949568188
"frozenset({'yogurt', 'canned beer'})",frozenset({'whole milk'}),0.051821446895844024,0.4581836839404823,0.028732683427398667,0.5544554455445545,1.2101160843967935,1.0,0.004988941981534781,1.21607662048914,0.18312268089053804,0.059701492537313425,0.17768339333933397,0.30858270597496484
"frozenset({'soda', 'canned beer'})",frozenset({'whole milk'}),0.054643406875320676,0.4581836839404823,0.030271934325295024,0.5539906103286385,1.2091015672234227,1.0,0.005235216860101918,1.214809213901866,0.18293585999126097,0.06273258904837851,0.17682547304026175,0.3100300196100079
"frozenset({'citrus fruit', 'rolls/buns'})",frozenset({'whole milk'}),0.07183170856849666,0.4581836839404823,0.039763981528989224,0.5535714285714286,1.2081866901295792,1.0,0.0068518646733363164,1.2136685479733198,0.18564881684766138,0.08110936682365254,0.17605181277056278,0.3201787713965766
